id,titulo
109314,Nota Fiscal de Serviço Pendente 
109380,Entrada manual de nota fiscal de uso e consumo
109415,Relatório de Produtos - Ordenando por Locação
109439,Emissão de Nota de Revisão Gratuita Honda
109953,"Forma, Sub-forma e condições de pagamento."
110314,Acessando a Base de Conhecimento pelo Vision
110546,Como salvar os arquivos no Ftp do cloud para importar no Vision?
110760,Como criar um modelo de relatório dinâmico no sistema?
110892,Nota Fiscal não consta na base local da SEFAZ
111206,Como gerar um Boleto Avulso no Sistema Vision ?
111218,FIDC - Fundo Investimento Banco Honda - Como funciona o processo no Vision?
111460,Configurar Retorno Financeiro em Tabela Financeira
114228,Como gerar uma Carta de Correção no Sistema Vision?
114429,Limite de Crédito 
115055,Erro SSL/TLS ao dar Ciência da Operação no Sistema da SEFAZ
115192,Como consultar Código Molicar
123903,FIDC - Fundo Investimento Banco Honda - Como configurar os Itens e Contas no Vision?
128496,Nota Fiscal de Entrada - Correção de Valores
128672,Validação Cor Veiculo - Preenchimento automático no Cadastro do Chassi
131835,Como vincular a Operação Interna a uma série de Nota Fiscal
132488,Como corrigir quando apresentar Rejeição: A SEFAZ do destinatário não permite Contribuinte Isento de Inscrição Estadual
133901,Envio de Nota Fiscal por e-mail (DANFE)
135333,Lançamento de cota de consórcio de Reposição  pelo Dashboard Vendedor
135347,Lançamento de Conhecimento de Frete
136044,Importação de Tabela Financeira da Honda - HASH INFORMADO INVÁLIDO
137582,Processo de Garantia - Peças
137708,Nota Homologada com Pendência - Baixa Devolução Item Único 
138242,Perda e Recuperação de Duplicatas
138706,Estorno de Devolução de Compra de Peças
139049,Venda de veículo com lead - à vista
139130,Como realizar uma venda sem Lead 
139229,Nota de Serviço - Sequencia de RPS
139257,Devolver veículo recebido em demonstração 
139641,Venda de veículo com lead -  Venda via financiamento: envio da proposta via mesa de crédito
139734,Emissão de nota de Serviço - Comissões Financeiras
139768,Compra de veículo usado e Devolução de compra
140037,Campanhas - Follow-Up
140609,Configuração de impressão comprovante TEF (impressora térmica não fiscal)
140695,Requisição de peças na Ordem de Serviço
140700,Confirmação do estoquista (Entrega das peças ao mecânico)
140921,Nota Homologada com Pendência - Despesa precisa ser Cancelada
141797,Devolução Compra Honda R.O - Sem destaque de Pis e Cofins com NCM Monofásico
142065,Importação de Arquivo para o Portal de Transparência Honda
142598,Agendamento de Serviço - Gerar agenda dos funcionários
142619,Agendamento de Serviços
143958,Gerar NF-e de Cupom Fiscal
151044,Orientações para realizar o processo de Inventário 
156949,Catálogo de peças Honda no Site Vision
163513,Como tratar a questão do valor de franquia em ordens de serviço de Seguradora
164017,Entrada de Nota Fiscal Manualmente 
164100,Kit de serviço com 100% de desconto aplicado a um determinado item
167306,Arrumar Dados do Cartão após nota emitida.
168062,Inclusão ChatBot - WhatsApp da Honda
168167,Como cadastrar uma nova conta contábil
168184,Como cadastrar um novo item financeiro de despesa
168195,Como cadastrar um novo material de uso e consumo
168210,Como cadastrar uma nova operação interna de despesa administrativa
168217,Como cadastrar uma nova subforma de pagamento
169426,Como arrumar código lista quando nota de serviço não emitir no Vision
170021,Ajustar informações de Cartão após nota fiscal emitida - Cliente não utiliza TEF
170022,Ajustar informações de Cartão de Crédito - Recebido em Adiantamento de Cliente
172139,Como Atualizar Imagem Família do Veículo no Site
172977,Estorno de Nfe Não cancelada no Prazo Legal
174499,Operações com veículo imobilizado (Compra e venda)
176025,Cadastro de novo Proprietário em chassi para Ordem de Serviço
176863,Resumo Mensal de Atividades (RMA)
177759,Como configurar mesmo NCM com tributações diferentes - com ST/sem ST
177857,Como configurar a emissão de NF de venda de imobilizado com redução da Base de Cálculo de ICMS
178414,Como arrumar erro de Cor Denatran ao emitir nota de Veículos
178439,Unificar Cor de Veículo
179774,Em qual pasta é salvo o arquivo XML pela destinada
180171,Envio de Imagens automáticas para o Autogestor
180189,Envio de Imagens automáticas de veículo seminovos para o Vision WebSite
181506,Como aproveitar crédito de ICMS de fornecedores optantes do simples nacional
181945,Rejeição: Alíquota do ICMS com valor superior 4 % na operação de saída interestadual com produto importados
184258,LGPD Lei 13.709/2018 - Como configurar modelos e termo de consentimento no Vision?
184647,Ajuste de estoque físico de peças
184827,Como o VISION contabiliza a venda de um bem do ativo imobilizado?
188662,Destaque do ICMS FCP ST em notas fiscais de compra de mercadoria
188780,Atualização na tabela de NCM's: Como proceder no VISION
192467,E-mail de contato com a Central de Serviços - Suporte Vision
193608,Configuração para iniciar Pré-Reserva de veículos 
199842,LGPD - Assinatura do termo por e-mail
199997,Requisitos para Instalação do TEF em Cliente
200493,LGPD - Assinatura do termo por Sms
200686,Painel Datamotor - Oficina - Avaliação Individual Consultores
210780,Emissão de nota fiscal de RO (Remessa para a Fábrica)
215633,Utilização do Boleto API
216885,Como configurar no Vision para validar abertura de um Lead para um cliente com um Lead já aberto?
216977,Dados do TEF Motoparts 
220462,Mensagem de Erro: Cannot focus a disable or invisible window
220560,Cadastro de Novos Funcionários
221041,Como realizar agendamento Test Ride
221175,Conciliação Bancária
222447,Integração SIDA (AssoHonda) 
223179,Como Incluir Documentos no Cadastro do Cliente
223562,Nota de Entrada de Veículos - Configurando Modelo
224204,Configuração de ISS (Imposto Sobre Serviço)
224591,Erro código IBGE - Cadastro Município 
224828,Alterar Vendedor da Pré-reserva
224928,Emissão de NFe para compra própria de Veículo Imobilizado
224995,Como configurar e gerar o SPED ECD
227007,Atualização de Telas PKG
228066,Como criar uma Promoção de Produtos
228120,Trabalhe com agenda dos vendedores nos leads com o Tipo Ligação
228227,Remessa de uso e consumo sem contabilização
228254,Erros que podem ser resolvidos reiniciando os pools ou visions services 
229405,Treinamento em vídeo: Agendamento de serviços
230055,Nota de compra cancelada pela Honda - Gravada incorretamente e com veiculo já vendido
230962,Atualização de certificado digital
231402,Acesso aos atendimentos Movidesk - Uso Interno
232690,COAF
233023,Liberações de Acesso ao Caixa 
234272,Cadastro de Cliente Estrangeiro 
234569,idDest difere de 2 - Oficina Seguradora Interestadual
234981,Painel Informativo Oficina
235117,Controle Estoque Fechado - Conferência de Entrada e Saída de Produtos
235923,Como gerar uma NFSe em ambiente de homologação na base de teste
236054,Emissão Nota Fiscal - Cor não informada em cadastro de chassi
236127,"Como localizar o Visionservice, IIS e Banco de Dados nos clientes"
237294,Configuração de Boleto API - Banco do Brasil
237450,Gestão de Consórcio - Alterando Empresa 
238448,Emissão de nota - Mensagem saída não encontrada 
241102,Geração EFD ICMS/IPI
241255,Conferência Informe de Vendas - INT.Com
242188,Serviço recém criado que não está contabilizando corretamente
242315,Reserva de Veículo - Sem disparar a Pré-reserva
243176,Configuração Vision Integração
243618,Instalação Vision API2 e verificações necessárias.
245644,Venda de veículo Imobilizado 
246249,Importação de TMO
247588,Importação arquivo tabela IBPT
248205,Preço de CNH puxar no Lead conforme configurado 
248642,Como atualizar Preço de Venda de Produtos Não Originais através da nota de entrada
248721,Detalhamento dos campos referentes aos impostos na NF de Entrada
248728,Como realizar um lançamento contábil 
248860,Unificação de modelo de veículo 
249146,Atualização de Preço Modelo Motocicleta
249154,Adicionar grupo de empresa para mover arquivo da conciliação 
250036,Como ajustar cidade do Tomador para emissão de Nfse
251549,Como realizar o envio das informações para o NewAef
252354,Lançamento e Baixa de Adiantamento para Funcionários
252859,Manual de ativação/Manutenção novo Backup no Agendador de tarefa do Vision
253054,Lançamento de Tributos
253072,Canal EDI - Cielo Redisponibilização dos Arquivos
254513,Cadastro de F&I - Desconto 
254550,Configurações de Desconto 
255045,Importação folha de pagamento
256175,Nome do Contador em Relatórios Contábeis
256316,Alteração no valor do ISS
256661,Pré-Reserva de veículos por bloqueio 
256750,Renegociação de Contas
256926,Correção de logotipo da Empresa
257105,Alteração do COEFICIENTE DE AQUISIÇÃO de Peças
257722,Devoluções do Sistema Antigo
260443,FIDC - O que conferir quando não é gerado um Agendamento Financeiro ?
262458,Emissão NF complementar  ICMS ST
262809,Como criar a chave de API do Google Maps
267687,Erro ao processar Renave - Código do município do comprador inválido
270785,Regime de tributação PIS / COFINS
270788,Atualizar Cesta de Serviços (ROA) 
272643,Cálculo Lucro - Tela Lucro Venda
273237,Ativar Modo Desenvolvedor no Tablet
275933,Implantação de imobilizados para inicio da depreciação
278956,Devolução de venda interestadual para consumidor final
280103,Devolução Uso e Consumo
280283,Venda de veículo com avaliação maior do que o pedido de venda atual
281786,"Configuração no perfil faturamento, caso não carregue o mapa no site "
282511,Erro ao receber a nota - Cadastro Cliente
282808,Como registrar dll (Interno)
283398,Emissão de Nota - Validar Inadimplência na Venda 
283757,Inclusão de IE de Pessoa Física
283975,EFD Contribuições - Configuração referente ao Rateio proporcional dos créditos
284143,Conferencia para envio do BIparts não enviado
284265,Arquivos a serem alterados com a mudança de IP
284425,NF-e sem indicativo do intermediador
284444,NCM Inexistente em nota de Produto.
284676,Inserir o TMO x Modelo de Veículo no cadastro do serviço
284917,Como unificar ou desmembrar itens via ajuste de estoque
286707,Manual Crédito do Ativo Permanente - CIAP
287029,Alteração de vencimento em orçamento de serviços e venda balcão
287076,Transferência de Peças entre Concessionárias e PAv através da tela de Pré reserva
287288,Como resetar a senha de um usuário do CLOUD Vision
288213,Processo de Garantia - Quando o sistema calcula o desconto no arredondamento do Valor Total do Item
290880,Como vincular sub formas de pagamento em operações internas?
290923,DIFAL (Diferencial de alíquota) em notas fiscais de entrada
291414,Utilização do MDF-e
291459,Adiantamento de Cliente - Mensagem ao tentar vincular na Saída
291969,Cálculo de Custo Médio + Impostos na Operação Interna
292059,Abrir Ordem de Serviço de Garantia/Recall junto com outros tipos
293586,Como exportar arquivos no Cloud/App ?
293884,Rejeição ao Realizar Ciência da Operação (Notas Destinadas) após Prazo de 10 Dias
294056,Novo programa de backup 
294132,O que é a Fila de notas destinadas?
294134,O que você precisa saber para utilizar a Fila de Notas Destinadas
294146,Boas práticas na utilização da fila de notas destinadas
295368,Ativar o SSL nos sites 
297853,Descontabilizar Documentos
298915,Alteração de forma de Pagamento em Nota de Entrada
300015,Deletar nota de entrada no Sistema
300739,Devolução de Venda de Peças
301602,Ajuste referente a entrada de item incorreto
302411,Ajuste de nota de entrada com lote financeiro vinculado
302701,Erro ao lançar o adiantamento do consórcio
302718,Configuração de operações internas de envio e retorno de conserto
303182,Entrada de Uso e Consumo - Peças e Serviços 
303211,Renave Connector - Configuração para Venda para Outras Concessionárias
304416,Teu Estoque
307407,Como refaturar Brinde F&I estornado
307702,Configuração do Aceite de Pesquisa para o MyHonda x Termo de Consentimento no Vision
308236,Configuração do registo E115 do Sped EFD (Específico RS)
308334,Erro ao emitir nota: Assinatura Difere do Calculado
308554,Implantação de nota de serviço emitida e cancelada na prefeitura sem registro no Vision
308920,Como o Vision calcula ICMS ST nas vendas interestaduais
310041,Configuração Renave: Compra de veículo de outra concessionaria 
310347,Erro ao lançar o adiantamento do consórcio
310656," Erro ao emitir nota de veículo ""O elemento 'veicProd' no espaço para nome"
310875,Validação: Aceita Pesquisa/ Mala Direta e Opt Sms e E-mail MyHonda
311526,Impressão de Pedido de Venda com o Financeiro Duplicado
312801,Produto F&I de Troco Pedido com Avaliação de Semi Novos
314490,Utilização do Catálogo de Peças dentro do Sistema Vision
317246,Importação NCM - EM EDIÇÃO
329580,Devolução de venda de veículo com Produto FI lançado em lote financeiro já contabilizado
329996,Devolução de venda de veículos: Estorno de Produtos F&I
331363,Avisos Fiscais
332890,Imobilização de serviços / obras em andamento
339840,Movimentações com Cheques
350087,Fluxo de Caixa
351966,Gerar arquivo para enviar para o Banco - (Procedimento por API)
352153,Renave Connector - Transmissão de venda entre lojas
354031,Regra do sistema  - LGD x Contato Automático e MyHonda
357277,Exportação de valores de comissão - Sistemas de Folha de Pagamento
360166,Impressão de Comprovante de Entrega
361650,Configuração Unico Auto - CONSUMO INTERNO
361771,Configuração Followize
362464,Validação My Honda - Consumo Interno
363865,PagDireto
364548,Lentidão Cloud / APP  - Testes a serem feitos
366263,Atualizar Certificado Digital para Renave (vinculação no Credencia)
366635,DDA
367442,Como Incluir novos pedidos de TEF (PAYGO)
369469,Gestão de entregas de veículos
372080,Como atualizar catálogo de peças
372577,Contatos Administradoras
372663,DFC DIRETO 
373785,PIX - Itaú
373787,Configurações PIX para o Banco do Brasil
375744,Duplicação de Ficha de Financiamento
378257,Configurar Carteira de Cobrança Bradesco por API
380075,Consulta de Chave de Acesso de uma nota ainda em faturamento
380768,Data Motor (Quais informações são consideradas para Boutique)
381767,Nota fiscal de remessa em garantia sem valores de desconto
384631,Layout - Importação Folha de Pagamento 
387463,Utilizando o PIX no Vision
387620,Opções de Personalização Pré-Reservas
387685,Renave Connector - Transmissão com nota de venda direta
388411,Você utiliza o contato automático para avisar os clientes das revisões?
391613,Efetuando Entrada de Nota Fiscal emitida há mais de 180 dias
395659,Configuração estoque unificado (Interno)
397341,Painel Informativo - Agendamento de Serviços
399058,Emissão de nota de devolução de Cupom Fiscal
400135,Correção da Tabela de Preços Honda
402947,Enviar Carga com período da Carteira de Pôs Vendas 
403063,Você utiliza o contato automático para avisar seus clientes das duplicatas a vencer e vencidas?
407150,Calcular preço de venda de acordo com a Margem de Lucro configurada
407336,Como configurar o Black list Molicar (Consumo interno)
410230,Utilizando a OS MOBILE
410922,Verificações do Antivirus
412456,Baixa de Pedido de Compra Automaticamente na Entrada da Nota
415773,Fechamento de Tickets resolvidos no Chat - CONSUMO INTERNO
416331,Consultar Pesquisa de Satisfação no Movidesk - CONSUMO INTERNO
416610,Como utilizar o módulo PEP
424890,Aumentar o tempo limite das telas web
425461,EFD REINF
428821,Relatório MyHonda - Dealer Assessment - Frequência do envio de dados
430134,Dificuldade na Impressão OS Mobile
430576,Solicitando arquivos da REDE
430717,Diferença conciliação veículos (cancelamento de nota de compra)
434931,"Olá, que bom te ver por aqui! 🙂"
434945,"Olá, que bom te ver nas Atualizações! 🙂"
434951,"Olá, que bom te ver nas Perguntas frequentes! 🙂"
437443,Versão 66.64
437514,Sobre Produto F&I no Vision!
438121,Mural de Sugestões
440741,CFOP na venda para fora do estado
441907,Versão 66.66
442126,Vision apresentando lentidão (interno)
445278,Como criar usuários do Cloud - CONSUMO INTERNO
445782,Descapitalização - Como é calculado
445884,Orientações do Bradesco de como fazer as solicitações
446262,Enviar QR code do PIX para PinPad
446462,Conta Financeira no Painel de Controle
446871,Apontamento Mecânico (New)
448184,Visualização de Estoque de Veículos
448680,Como verificar os XMLS dentro do Vision
453015,Cadastro de clientes
453018,Cadastro de peças e produtos
453024,Cadastro de serviços
453798,Central de ajuda Carrier
454449,Ordem de serviço
454486,Cadastro de veículos
454491,Cadastro de modelo de Veículo
454495,Orçamento de peças e serviços
454500,Venda balcão
454501,Consulta de estoque de peças
455264,Como funciona o lançamento de serviço com TMO 
456056,Como acessar o VISION
456060,Notas Destinadas: Como lançar notas fiscais de entrada no Vision
456067,Como baixar o contas a pagar
456070,Como emitir uma nota fiscal
458858,Devoluções de venda e de compra
458859,Adiantamento de clientes
458901,Ajuste de estoque
460152,Criar relatório WEB (a partir de outro cliente)
460639,Significado dos retornos das principais Adquirentes (cartões TEF)
461167,Versão 67.22
461605,Versão 67.20
462251,Beta - Apontamento de Mecânico
462522,Versão 67.22 - Agenda dos Funcionários (Versão Beta)
462569,Versão 67.22 - Agendamento de serviços (Versão Beta)
465089,Versão 67.25
465787,Versão 67.26 - TEF Auttar
465819,Implantação Boleto ITAU API
465924,Versão 67.28
468387,Versão 67.32 -  Melhoria no Agendamento de Serviços (Piloto)
468392,Versão 67.32
468440,Versão 68.1 - Movimentação Conta Contábil (Piloto)
468668,Versão 67.32 - Migração tela Ajuste de Preço (Piloto)
469593,Como informar o ACEITE no Site da Redecard
471065,Versão 67.34
471760,Versão 67.35
472456,Versão 68.1
474479,Versão 67.39
474727,Versão 67.41
475031,Versão 67.42
475935,Orçamento de Serviço Web – Beta
476864,"Integração Vision-MyHonda: Cadastro do Cliente Opt-in (Email/Sms), sem termo de consentimento assinado no Vision"
476866,Homologação Boleto Caixa - Consumo Interno
477975,Utilizar o Outlook para envio de e-mails
478379,Versão 67.48
478528,Importação Arquivo Desconto Fábrica
478887,Inventário Mobile - Beta
478966,Inventário - Beta
480050,Credenciais Boleto e Pix Sicoob
480452,Acesso ao portal Cliente Auttar
481580,Distribuição de Serviço - Beta
481638,"Integração Vision-MyHonda: Cadastro do Cliente Opt-in (Email/Sms), COM TERMO  de consentimento assinado no Vision"
482510,Versão 69.1
483939,Versão 70.1
484059,Como atualizar E-mail/ Celular do Cliente no Vision e atualizar no myHonda?
485742,Beta – Pré-Reserva de Veículos
486584,Gerar Crendencial no Bling
487462,Versão 70.4
489189,Processo completo de avaliação de seminovo em pedido de venda
489339,Renave Connector - ITE
490034,Versão 70.7
490796,Versão 70.9
491253,Macros que são usadas no Movidesk - CONSUMO INTERNO
492171,Alteração em lote das pré-reservas
495554,Transmissão automática do RENAVE
496240,Envio de Serviços x Peças - MyHonda
496495,Versão 70.22
497033,Transferência de Itens O.S. - BETA
497533,Cancelar reservas de veículos automaticamente
497946,Versão 70.23
497948,Inventário - Beta
497987,Versão 70.15
500351,Versão 70.27
501493,Verificações AssoHonda (interno)
501953,INTERNO - Instalando VPN e Acesso Clientes
502046,Versão 70.31
502343,Configuração boleto Sicredi
504755,Versão 70.36
505076,INTERNO - REPLICAÇÃO SENHA INT.COM
506993,Versão 71.1
507547,"Como Criar Filtros para Relatórios: Simples, Compostos e Avançados"
507832,Relatórios Dinamicos em formato Excel ou Word
511105,Versão 72.1
513752,TEF SISAND/AUTTAR - PROCESSOS EM ERROS MAIS COMUNS
516503,Solicitação de Extratos Eletrônicos - Getnet
517980,Versão 73.1
518933,Site Sisand - Edições principais
518990,Como Lançar uma Nota Fiscal de Material de Uso e Consumo.
520808,"Como transferir valor inicial entre caixas, de filiais diferentes"
521001,Versão 74.1
521771,Faturamento -  Emissão de Nota - Hexadecimal
524676,Arquivos Cloud
524943,Configurações WORKSPACE (Interno)
525906,Integração CT Estoque
528263,Versão 74.25
528407,Base ICMS incorreta em nota de entrada de peças
528486,Integração Vision com Fandi
529239,Credere - Token Credere Expirado
529388,Configurações TEU ESTOQUE
529399,Como lançar uma nota do Market Connector quando o produto foi cadastrado incorretamente no Bling
529465,Como configurar o CBENEF?
529917,Versão 75.1
530863,Faturamento - Nenhum item configurado para reembolso de Adiantamento
531178,Cadastrar condições de pagamento e incluir em Sub Formas
531210,Ajuste do Cadastro de uma Motocicleta Registrada como Bem Imobilizado
531215,Veículo - Operação sem CFOP configurado
531229,Renave Connector - Validação Bin
532506,Versão 76.1
532756,Processo de Pagamento de Duplicata em Trânsito
532869,Notas de devolução - Só deve existir um item financeiro configurado
532981,Estoque Mínimo - Bloqueio de Venda para Garantia da Oficina
533419,Perguntas e respostas: Módulo VEÍCULOS
533471,Como funciona o Borderô no Vision?
535027,Versão 77.1
536101,Solicitação de Extratos Eletrônicos Cielo - API
536596,Relatórios VESATEC
536687,Versão 78.1 
537099,PIX no Pinpad - Erro ao enviar QRCODE PIX para o Pìnpad
539204,Utilizando o TEF no Vision
539245,Nota Fiscal complementar de ICMS
539423,Cancelando Transação TEF no Vision
540367,Versão 79.1
